,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
130,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,5,4,5,4,2,3,4,2,3,4,1,2,5,3,5,2,1,5,4,4,1,1,5,5,4,2,5,1,4,3,4,2,1,4,5,3,2,4,5,4,4,5,3,1,1,1,3,1,4,4,5,5,4,3,tried smoking,social drinker,3,1,3,4,4,4,1,4,4,3,3,5,1,1,2,5,4,5,2,4,1,3,4,5,1,3,4,4,2,4,2,4,i am often early,sometimes,3,4,3,4,4,4,4,3,5,5,5,2,3,4,4,4,4,4,1,5,4,4,5,few hours a day,4,5,5,5,5,5,5,19,168,66,1,female,right handed,secondary school,no,village,house/bungalow
131,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,5,3,5,2,1,4,3,3,3,3,4,5,1,3,4,1,1,5,4,1,1,1,1,1,4,1,1,4,1,1,5,2,1,1,5,1,1,2,4,4,3,5,5,3,1,2,3,4,2,2,3,1,4,2,former smoker,social drinker,3,4,1,1,1,4,3,2,4,2,2,5,3,1,3,1,2,5,1,5,4,1,5,5,3,5,4,3,3,2,1,4,i am often early,sometimes,4,5,3,5,3,4,2,4,5,2,4,4,4,1,4,4,1,4,1,3,1,2,4,few hours a day,4,5,5,3,3,4,3,18,193,103,2,male,right handed,primary school,yes,village,house/bungalow
132,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,5,4,4,5,5,5,4,2,5,4,1,3,1,5,2,4,1,5,3,2,4,1,4,5,5,3,2,1,1,2,3,1,1,1,2,1,1,3,2,4,2,3,3,5,1,1,2,1,5,3,5,3,1,4,tried smoking,never,2,4,4,2,5,4,1,4,5,1,2,5,4,5,4,1,4,5,3,4,3,1,5,4,5,5,2,1,4,4,1,1,i am always on time,sometimes,3,4,4,4,3,3,4,4,3,2,3,5,4,4,2,3,4,3,2,4,2,2,5,most of the day,5,4,3,1,2,2,2,15,170,51,1,female,right handed,primary school,no,village,house/bungalow
133,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,5,1,1,2,2,1,4,5,4,5,1,4,4,1,1,1,1,2,1,1,3,1,5,3,4,2,1,1,5,5,5,5,5,3,3,4,3,1,3,1,5,4,1,4,3,3,5,4,4,4,2,2,3,2,tried smoking,social drinker,1,3,5,5,5,4,3,5,5,1,4,1,1,1,5,3,4,4,1,4,3,4,5,5,2,2,3,3,5,3,2,3,i am always on time,never,2,3,4,4,1,2,1,5,3,4,2,4,4,5,3,4,5,3,4,4,5,4,2,less than an hour a day,2,5,4,2,2,1,2,20,170,50,2,female,right handed,college/bachelor degree,no,city,house/bungalow
134,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,5,5,3,5,5,5,3,5,5,5,3,4,3,3,3,1,2,3,3,3,3,3,3,3,3,4,3,3,3,1,3,3,2,1,1,3,3,2,2,4,4,4,4,4,3,3,3,3,5,3,1,5,5,5,former smoker,social drinker,3,3,5,5,5,5,5,3,5,5,3,4,5,5,5,1,5,5,3,5,5,1,5,5,5,4,3,5,1,3,1,3,i am always on time,only to avoid hurting someone,1,3,5,3,1,3,1,3,3,5,4,5,5,5,1,1,5,1,1,5,1,1,1,few hours a day,1,3,5,5,5,5,5,16,170,59,1,female,right handed,secondary school,yes,village,house/bungalow
135,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,4,3,5,5,2,4,5,3,3,5,2,4,5,2,1,3,2,4,4,1,3,1,4,4,5,2,5,4,4,2,4,1,3,1,4,4,2,3,2,5,4,5,1,5,4,4,5,5,5,2,1,3,1,1,current smoker,drink a lot,3,2,1,1,1,5,3,3,4,2,5,4,1,1,5,4,4,4,1,5,2,2,5,5,3,5,3,4,3,4,2,3,i am often early,sometimes,1,3,3,2,2,4,5,3,2,5,3,5,4,2,3,2,2,3,2,4,2,3,4,few hours a day,4,3,3,3,1,4,4,18,185,62,1,male,right handed,secondary school,no,village,block of flats
136,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,5,4,4,5,4,3,5,2,2,4,3,4,4,2,5,2,4,5,4,3,5,5,3,3,3,5,2,2,1,5,3,4,1,2,5,5,4,1,3,5,5,5,3,3,1,1,2,4,5,3,1,1,3,2,never smoked,never,3,3,2,1,3,4,5,4,5,1,5,4,2,1,3,5,3,4,1,3,1,2,5,5,4,4,3,3,5,3,2,3,i am often early,never,3,3,3,4,3,3,5,3,3,3,2,5,5,5,4,4,4,3,5,5,4,4,2,few hours a day,3,3,4,3,2,3,4,21,185,90,1,male,right handed,secondary school,no,village,house/bungalow
137,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,2,1,3,4,3,1,2,4,5,3,1,3,4,3,3,3,3,5,4,2,4,3,4,5,5,3,2,5,4,3,3,1,1,4,3,1,1,2,3,2,2,3,1,1,5,2,2,2,3,4,1,2,4,2,never smoked,never,1,4,3,5,5,3,2,3,3,4,3,3,2,4,3,1,3,2,1,3,2,4,3,4,5,2,3,5,4,3,1,1,i am often early,sometimes,4,2,5,3,3,1,2,5,3,5,3,2,4,3,3,3,3,2,4,3,1,5,4,few hours a day,4,4,1,2,1,1,4,19,170,60,1,female,right handed,primary school,yes,village,house/bungalow
138,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,5,1,2,5,5,1,3,5,4,4,3,2,2,3,2,1,1,3,1,2,5,4,5,3,5,5,1,1,1,5,5,2,5,3,2,4,1,2,3,2,2,4,1,3,1,1,1,1,1,2,2,1,4,3,never smoked,never,1,4,2,2,1,5,2,5,5,5,4,3,1,1,4,5,4,5,1,5,2,1,2,5,4,4,3,5,5,3,3,4,i am always on time,sometimes,5,5,2,3,5,3,5,5,4,1,2,5,5,3,4,4,3,3,4,3,3,5,5,few hours a day,4,1,1,1,1,1,1,20,168,50,4,female,right handed,secondary school,no,village,house/bungalow
139,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,5,3,3,5,5,2,1,3,4,1,2,3,1,3,1,2,1,4,3,1,3,2,3,1,4,1,3,1,4,3,5,5,5,3,2,4,2,4,4,2,3,5,3,5,4,4,4,4,3,5,5,4,5,2,tried smoking,social drinker,3,3,2,5,2,4,4,4,4,5,5,4,3,4,4,4,5,5,1,4,2,1,3,5,4,2,4,2,5,4,3,3,i am often running late,sometimes,2,5,5,5,4,5,5,4,3,4,4,2,2,4,3,4,3,3,3,5,5,4,5,few hours a day,2,4,3,3,1,4,2,19,168,53,1,female,right handed,college/bachelor degree,no,village,block of flats
140,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,5,1,4,5,5,5,5,5,5,5,4,5,5,4,3,2,2,3,1,1,1,1,4,3,5,2,2,3,5,5,5,1,4,3,2,1,1,2,3,2,4,4,5,5,2,2,2,5,2,4,3,2,4,3,tried smoking,social drinker,3,2,4,4,4,4,3,4,5,1,5,2,2,1,3,5,5,5,1,4,4,4,5,3,3,4,3,5,5,3,4,4,i am always on time,sometimes,4,1,4,3,4,2,5,5,5,2,4,5,5,5,4,4,4,3,5,4,4,4,3,few hours a day,3,2,2,1,1,1,2,19,175,52,3,female,right handed,college/bachelor degree,no,city,block of flats
141,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,3,3,1,5,5,1,1,5,5,5,1,1,3,5,1,5,5,5,5,5,3,4,4,1,5,1,1,1,1,1,5,1,1,1,1,3,1,1,1,5,3,3,1,5,1,2,4,5,1,3,1,5,3,1,current smoker,social drinker,3,1,5,3,5,5,2,5,5,5,3,3,2,1,1,5,4,5,1,3,2,1,5,2,3,2,1,1,3,3,1,3,i am often early,only to avoid hurting someone,2,1,5,3,3,4,5,3,5,3,5,3,5,3,3,3,3,4,1,4,5,3,2,few hours a day,1,3,5,5,1,1,5,19,170,65,1,female,right handed,primary school,yes,city,block of flats
142,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,4,1,2,4,4,4,1,3,4,1,1,2,1,2,2,2,1,5,5,4,1,1,4,4,3,1,2,2,1,1,5,5,1,1,3,4,1,3,5,5,4,4,1,1,3,3,1,4,4,4,4,4,5,3,never smoked,social drinker,2,3,3,3,3,2,2,4,3,1,3,2,1,1,4,3,4,4,5,3,3,4,4,4,3,3,5,3,2,2,4,2,i am often running late,sometimes,5,3,5,1,2,1,4,3,3,3,4,5,3,4,3,3,1,3,4,5,2,2,2,most of the day,2,5,5,4,4,5,4,19,170,60,1,male,left handed,primary school,no,city,block of flats
143,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,5,4,2,4,3,3,1,4,5,4,1,2,3,4,2,1,1,5,3,2,1,1,3,1,3,1,1,4,1,1,3,3,1,1,5,2,1,2,4,3,1,5,1,5,2,3,4,5,5,5,5,4,2,4,former smoker,social drinker,3,1,2,3,3,5,3,5,4,2,4,3,1,1,3,3,3,4,3,5,1,3,5,5,3,5,4,2,3,4,1,3,i am often early,everytime it suits me,3,3,4,4,4,4,1,4,2,3,3,5,3,5,3,3,5,4,1,4,2,3,5,most of the day,2,5,5,5,5,3,4,20,168,62,1,female,right handed,secondary school,no,city,block of flats
144,5,2,3,1,2,3,2,4,5,1,3,2,2,2,4,3,4,4,2,5,5,2,5,3,5,5,3,4,5,1,4,3,4,1,1,4,5,5,1,5,5,2,3,3,5,1,1,4,1,5,3,3,1,4,4,1,1,3,5,4,5,3,3,1,1,1,1,1,1,1,1,2,5,never smoked,social drinker,5,1,5,4,3,4,1,5,5,1,5,2,4,5,5,1,5,4,1,4,2,1,5,5,4,1,1,5,1,2,1,1,i am often early,sometimes,4,1,4,4,1,1,4,2,2,1,1,5,3,1,1,2,3,2,4,1,1,1,4,few hours a day,5,2,2,1,1,1,5,21,180,66,1,male,right handed,secondary school,no,city,block of flats
145,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,4,2,4,4,4,1,2,2,2,4,1,1,2,4,2,1,1,4,2,1,2,1,3,3,4,4,2,1,2,3,2,1,2,4,2,1,1,2,2,2,2,4,3,2,2,3,4,3,5,4,3,3,4,3,current smoker,social drinker,2,2,2,3,2,2,3,4,3,4,3,4,4,1,2,5,4,4,2,4,1,3,2,3,3,3,3,4,4,4,3,3,i am often early,everytime it suits me,2,4,3,4,2,4,3,4,3,3,3,3,4,5,4,4,2,3,3,4,3,3,4,few hours a day,2,3,2,4,2,2,3,19,165,78,1,female,right handed,secondary school,no,village,house/bungalow
146,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,1,1,5,3,5,5,4,3,4,2,2,5,2,5,5,3,5,1,1,5,5,3,2,1,4,4,5,3,5,4,2,5,5,1,1,1,5,5,1,2,4,3,4,5,2,4,1,1,1,3,1,3,1,1,3,2,tried smoking,never,3,4,3,4,3,5,1,5,5,1,4,4,1,5,4,5,5,5,1,2,1,1,1,4,3,3,4,1,5,3,3,3,i am always on time,sometimes,4,3,2,4,2,3,1,4,3,2,3,1,5,3,5,3,3,3,5,2,3,2,2,few hours a day,5,4,5,4,3,3,4,21,180,72,1,male,right handed,secondary school,no,city,block of flats
147,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,5,2,3,3,3,4,3,4,2,4,2,4,4,2,3,5,5,5,4,2,2,3,5,5,4,2,2,2,1,3,5,1,1,3,4,1,1,1,1,5,2,2,2,3,1,1,1,2,2,2,2,3,3,4,never smoked,social drinker,3,3,4,4,5,4,3,5,5,3,4,2,3,3,3,5,4,2,2,3,3,2,4,5,4,2,4,1,2,4,3,1,i am often early,sometimes,1,1,2,2,1,4,5,3,2,2,3,5,4,1,4,3,2,3,4,3,3,4,3,most of the day,4,2,1,1,1,3,4,18,185,83,2,male,right handed,secondary school,no,city,block of flats
148,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,4,4,4,5,5,4,3,3,3,4,3,4,3,4,3,4,4,5,5,3,3,4,1,4,4,3,3,1,2,5,4,3,2,3,3,4,1,2,2,4,2,3,2,1,1,2,2,3,2,3,2,2,4,3,never smoked,social drinker,3,2,3,2,4,4,5,4,4,2,4,3,2,4,3,5,4,4,2,4,5,3,3,5,2,3,4,3,5,3,2,3,i am often early,only to avoid hurting someone,4,4,2,3,3,2,2,3,3,2,3,5,3,2,4,2,2,4,4,2,2,4,3,few hours a day,4,4,4,3,3,5,3,20,165,55,3,male,right handed,secondary school,no,village,house/bungalow
149,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,3,2,2,4,2,5,5,4,4,4,2,2,2,3,1,5,5,3,5,3,2,3,2,3,3,2,1,2,1,3,4,1,1,1,2,3,1,1,2,4,2,3,3,1,1,1,2,3,1,2,1,2,3,4,tried smoking,never,2,2,3,2,3,2,3,2,2,2,5,3,3,3,2,3,1,2,1,2,3,2,1,2,3,2,2,1,4,3,2,2,i am always on time,sometimes,2,4,3,2,3,4,3,5,2,2,3,5,4,2,3,2,3,2,3,2,3,3,3,few hours a day,3,2,1,2,1,2,4,19,184,85,5,male,right handed,college/bachelor degree,no,city,block of flats
150,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,5,2,4,4,3,4,2,2,2,3,1,4,2,3,4,3,3,4,4,5,2,2,4,4,4,2,1,3,3,1,4,1,1,1,5,4,1,2,3,5,3,5,3,1,2,1,2,1,5,2,1,3,3,3,tried smoking,never,4,5,2,1,2,3,2,5,5,3,3,4,2,2,5,5,5,4,3,4,1,5,4,4,2,1,3,1,1,4,2,3,i am always on time,sometimes,2,3,3,4,1,2,4,2,4,2,3,5,3,2,4,4,3,3,5,1,3,3,3,few hours a day,3,3,2,5,3,2,4,22,177,61,1,female,right handed,secondary school,no,city,block of flats
151,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,5,4,4,5,2,2,2,3,3,2,1,4,4,4,4,2,2,3,3,1,2,1,3,4,2,3,2,2,3,4,2,1,1,1,4,5,1,4,2,3,4,5,2,3,3,2,1,4,3,3,4,2,2,4,tried smoking,never,1,5,1,4,4,4,1,5,4,3,3,4,3,1,3,5,5,4,1,4,3,2,4,5,3,5,4,3,2,4,1,3,i am often early,everytime it suits me,1,4,4,4,2,4,4,2,2,2,3,5,4,3,3,4,4,4,1,1,3,3,2,few hours a day,4,1,4,4,3,3,2,20,180,100,1,male,right handed,secondary school,no,city,block of flats
152,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,5,5,3,5,3,2,5,2,3,5,2,4,5,5,5,2,1,4,2,5,2,2,2,3,5,5,3,1,1,2,1,1,1,5,3,5,1,1,3,4,2,5,4,4,5,1,3,3,2,3,3,5,4,1,tried smoking,drink a lot,3,5,1,5,4,5,5,3,5,1,5,5,1,5,2,5,4,5,1,5,1,5,5,3,5,5,5,5,5,3,3,5,i am often running late,sometimes,5,5,5,5,5,2,3,5,5,5,3,1,5,5,5,5,2,4,2,5,5,4,2,few hours a day,2,1,1,5,4,1,4,25,170,72,2,male,right handed,college/bachelor degree,no,city,block of flats
153,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,3,2,4,5,4,3,3,3,5,4,2,4,5,3,5,1,2,4,2,3,2,1,4,2,3,2,2,4,3,4,3,1,1,1,3,3,2,4,5,4,2,3,2,1,1,3,2,3,5,4,4,4,5,3,tried smoking,social drinker,3,5,2,3,2,3,1,3,3,2,1,3,2,4,2,4,5,4,2,4,1,2,4,4,4,5,3,2,4,3,2,3,i am often early,everytime it suits me,2,3,3,5,2,2,3,3,2,3,5,3,4,4,4,4,1,3,4,4,3,4,3,few hours a day,3,5,3,3,5,4,4,21,170,52,0,female,right handed,college/bachelor degree,yes,city,block of flats
154,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,4,4,4,5,3,2,5,1,1,5,3,4,5,1,5,3,4,5,5,5,2,2,1,5,5,2,4,2,1,2,3,1,3,1,1,1,1,1,2,5,1,5,1,3,1,1,2,2,5,3,2,3,1,3,former smoker,drink a lot,3,4,4,4,3,5,1,5,5,2,3,3,1,2,3,1,4,4,2,1,2,1,5,4,2,5,4,1,1,3,2,3,i am often running late,only to avoid hurting someone,4,5,2,3,2,4,5,1,5,4,5,3,5,2,5,4,4,2,3,2,5,3,3,few hours a day,4,1,5,4,3,4,4,24,185,81,1,male,right handed,college/bachelor degree,no,city,block of flats
155,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,4,5,4,3,3,4,2,3,4,3,1,2,4,5,2,3,2,3,2,1,4,3,4,3,5,4,5,2,3,1,3,4,5,4,3,3,3,2,3,4,3,3,4,4,1,1,5,1,2,1,5,3,1,3,tried smoking,social drinker,3,4,5,5,5,5,1,5,5,5,1,1,5,5,1,3,5,5,5,5,5,5,5,5,5,2,1,5,1,2,5,1,i am always on time,everytime it suits me,4,1,5,2,5,1,4,4,4,1,5,5,3,3,2,1,5,3,1,5,4,5,5,few hours a day,5,5,3,3,5,4,3,19,171,72,1,female,right handed,secondary school,no,city,block of flats
156,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,5,4,4,4,4,3,3,3,2,3,2,4,5,2,4,1,1,5,2,1,1,1,5,4,5,1,5,1,1,3,3,1,1,1,3,2,1,1,4,1,1,4,1,4,1,1,1,5,1,1,1,1,5,2,never smoked,drink a lot,3,5,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,1,2,1,5,2,3,2,5,3,5,3,i am always on time,everytime it suits me,4,3,2,3,3,4,4,5,3,2,2,5,3,1,2,3,1,3,3,5,4,3,3,few hours a day,4,5,1,4,4,1,4,25,177,97,1,male,left handed,doctorate degree,yes,city,block of flats
157,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,5,5,5,3,2,4,5,3,3,3,4,4,3,4,3,2,2,4,4,2,2,2,4,3,2,2,2,2,2,4,5,1,1,1,3,1,1,2,2,3,2,5,4,2,1,1,1,1,2,2,2,2,5,2,former smoker,social drinker,2,4,2,1,1,4,5,3,3,3,3,3,4,2,3,5,5,3,1,4,2,1,2,4,2,5,3,3,5,4,1,5,i am always on time,sometimes,2,3,3,3,4,3,4,5,3,2,4,2,4,2,4,3,1,4,2,4,3,4,5,most of the day,4,3,3,2,2,2,2,26,175,60,2,male,right handed,masters degree,no,village,house/bungalow
158,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,5,4,4,5,5,4,1,5,5,2,1,4,1,2,1,3,2,5,3,1,3,3,4,4,4,2,1,1,4,1,5,2,5,4,5,5,3,4,5,4,4,5,2,5,3,3,2,1,5,2,2,3,5,4,tried smoking,never,3,4,4,4,2,3,3,4,4,5,4,3,2,4,5,1,4,4,1,3,2,3,5,4,5,5,4,3,4,3,2,2,i am often running late,sometimes,1,5,5,3,3,3,5,3,3,5,3,5,5,4,3,5,3,3,3,5,5,3,2,few hours a day,2,5,4,3,5,5,5,15,160,48,2,female,right handed,currently a primary school pupil,no,village,block of flats
159,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,5,2,4,4,3,4,4,5,4,3,3,4,4,4,4,3,2,4,3,4,4,2,4,5,4,3,3,3,3,4,5,3,4,2,5,4,3,2,2,3,4,5,5,5,2,2,3,4,2,2,3,2,3,2,tried smoking,social drinker,2,3,3,5,5,4,3,5,5,2,5,4,2,3,3,5,4,4,2,4,3,3,3,2,2,4,2,3,5,3,3,4,i am always on time,sometimes,4,4,2,4,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,few hours a day,3,3,3,3,3,3,3,20,190,70,1,male,right handed,secondary school,no,city,block of flats
160,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,5,5,4,5,3,5,5,4,4,4,1,3,4,3,5,5,4,5,4,5,2,3,1,5,4,1,2,4,3,1,2,4,5,4,5,5,1,1,1,4,2,5,4,1,1,1,1,2,1,1,1,1,1,2,tried smoking,social drinker,1,4,1,1,1,1,3,3,5,1,5,5,1,1,2,5,4,4,1,4,1,3,2,3,3,4,1,5,1,3,4,3,i am always on time,sometimes,5,3,2,4,3,3,3,5,3,1,1,2,5,1,2,3,3,3,3,5,5,2,3,few hours a day,3,1,1,4,2,2,4,19,194,79,1,male,right handed,secondary school,no,city,block of flats
161,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,5,2,5,5,3,5,2,4,4,3,1,5,2,2,1,1,1,4,2,1,5,5,5,2,4,4,1,1,2,1,3,1,1,4,4,2,3,4,5,3,2,5,3,5,1,2,1,1,4,1,1,5,1,3,current smoker,social drinker,4,2,2,4,3,3,2,3,4,3,2,2,5,4,3,1,5,5,4,4,2,2,5,4,5,5,5,3,2,2,3,3,i am often early,everytime it suits me,2,4,4,3,2,3,4,2,2,5,5,3,2,3,2,2,5,3,1,2,2,3,3,few hours a day,3,5,2,2,4,2,5,20,172,73,2,female,left handed,secondary school,yes,city,house/bungalow
162,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,4,2,2,5,5,3,5,2,1,5,3,2,5,3,3,1,1,5,2,2,1,1,3,5,5,1,3,4,1,2,3,1,1,1,1,5,1,1,1,2,1,3,2,2,1,1,1,2,2,5,3,1,3,2,tried smoking,social drinker,4,3,2,4,5,5,5,4,5,3,4,1,1,2,2,5,5,4,1,5,1,3,4,1,3,4,3,2,5,3,1,3,i am often early,sometimes,2,4,3,4,3,2,5,3,4,4,3,4,4,2,3,3,2,4,2,2,4,2,3,few hours a day,4,2,3,2,4,2,4,21,190,89,0,male,left handed,college/bachelor degree,yes,city,block of flats
163,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,4,5,5,3,3,5,3,2,2,4,1,3,5,5,3,1,1,5,3,3,3,3,2,2,2,2,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,4,4,3,2,2,3,4,current smoker,social drinker,4,2,3,1,2,5,5,2,3,5,1,2,4,5,3,1,5,5,1,5,2,2,4,4,4,5,4,3,5,4,1,1,i am always on time,sometimes,3,3,5,5,3,3,3,2,3,5,2,3,3,1,2,2,4,3,1,1,2,4,3,most of the day,3,3,3,4,3,2,4,22,184,71,1,male,right handed,secondary school,no,city,block of flats
164,5,4,4,2,1,3,2,4,5,1,3,2,2,4,4,5,2,3,2,5,2,5,3,3,2,1,3,5,3,1,2,3,3,2,1,1,4,4,1,2,1,4,1,4,1,2,1,3,2,1,1,1,4,1,3,2,5,5,1,4,4,1,4,2,1,3,2,2,2,2,4,1,4,current smoker,social drinker,4,4,2,1,2,4,1,4,4,3,2,4,4,4,2,4,3,5,2,5,2,2,5,3,3,4,2,4,2,3,2,4,i am always on time,everytime it suits me,2,4,5,5,3,4,2,4,4,4,4,2,4,4,4,3,3,3,1,5,5,4,5,most of the day,2,5,3,4,5,3,2,20,188,60,1,male,right handed,secondary school,no,village,house/bungalow
165,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,5,1,1,5,5,2,5,3,2,4,1,3,3,4,5,2,1,5,4,4,1,1,5,4,5,2,5,2,4,3,5,4,4,2,2,2,1,2,5,4,5,5,4,2,3,2,2,4,4,4,5,4,4,4,tried smoking,social drinker,3,5,5,5,5,4,4,4,4,4,3,4,2,1,3,5,5,4,3,4,2,3,3,4,1,2,4,2,5,3,3,4,i am often running late,everytime it suits me,3,5,2,4,5,2,1,4,4,2,5,4,4,2,4,3,5,3,1,5,3,5,1,few hours a day,3,5,4,4,4,2,3,20,168,60,1,female,right handed,college/bachelor degree,yes,city,block of flats
166,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,4,4,4,5,3,3,2,3,4,3,1,4,2,2,2,2,2,2,2,3,2,4,4,3,4,2,1,1,3,1,4,1,3,1,2,5,1,1,2,3,4,4,3,1,1,1,2,2,4,1,1,3,2,1,former smoker,drink a lot,4,3,5,3,5,4,2,4,4,4,3,4,2,5,4,4,4,2,3,3,1,2,2,3,3,2,3,2,3,3,1,3,i am always on time,sometimes,2,3,5,3,3,4,3,2,4,4,4,4,5,2,4,3,5,3,3,1,4,4,4,few hours a day,5,2,1,4,2,2,4,21,161,65,1,female,right handed,secondary school,no,city,block of flats
167,3,3,3,2,2,3,2,3,4,3,4,4,4,3,3,3,3,3,2,3,1,2,5,2,3,1,1,2,5,2,2,3,3,3,1,2,4,3,3,3,2,1,3,1,2,2,2,1,1,2,1,1,1,5,2,1,1,2,4,1,3,2,4,3,3,4,4,4,4,3,3,4,4,current smoker,drink a lot,3,2,2,2,1,2,1,2,2,1,3,2,2,5,3,2,3,3,2,4,3,1,5,4,4,3,3,5,2,2,2,1,i am always on time,sometimes,1,1,3,2,3,2,4,2,3,3,3,5,3,2,1,1,2,2,1,5,2,2,3,few hours a day,4,2,1,2,1,3,2,21,183,98,1,male,right handed,primary school,no,village,house/bungalow
168,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,5,5,5,5,3,3,3,4,4,4,3,4,3,4,4,1,1,5,5,5,1,1,4,3,3,1,5,2,1,1,1,1,1,4,4,4,1,3,4,5,3,5,5,1,1,1,1,1,1,1,1,2,2,1,tried smoking,social drinker,1,5,1,1,1,5,1,5,5,3,2,5,3,1,1,5,5,5,1,3,1,1,5,5,5,5,1,5,1,5,4,3,i am always on time,everytime it suits me,4,5,5,5,3,4,4,5,5,5,5,5,5,2,2,1,3,3,5,5,1,3,2,most of the day,3,5,5,1,5,5,1,20,180,71,0,female,right handed,secondary school,yes,city,block of flats
